加利尔 AR（纪念品） | 地狱看门犬=Souvenir Galil AR | Cerberus
P90 | 牵引力=P90 | Traction
CZ75 自动手枪 | 翡翠色调=CZ75-Auto | Emerald
蝴蝶刀（★ StatTrak™） | 渐变之色=★ StatTrak™ Butterfly Knife | Fade
短剑（★） | 致命紫罗兰=★ Stiletto Knife | Ultraviolet
折叠刀（★ StatTrak™） | 人工染色=★ StatTrak™ Flip Knife | Stained
锯齿爪刀（★） | 北方森林=★ Talon Knife | Boreal Forest
内格夫（纪念品） | 核子废渣=Souvenir Negev | Nuclear Waste
SG 553（StatTrak™） | 危险距离=StatTrak™ SG 553 | Danger Close
PP-野牛（StatTrak™） | 死亡主宰者=StatTrak™ PP-Bizon | Osiris
AUG | 深蓝电镀处理=AUG | Anodized Navy
法玛斯 | 摧枯拉朽=FAMAS | Teardown
G3SG1 | 丛林虚线=G3SG1 | Jungle Dashed
短剑（★ StatTrak™） | 深红之网=★ StatTrak™ Stiletto Knife | Crimson Web
M4A4（纪念品） | 变频器=Souvenir M4A4 | Converter
MP7 | 帝国=MP7 | Impire
猎杀者匕首（★ StatTrak™） | 致命紫罗兰=★ StatTrak™ Huntsman Knife | Ultraviolet
AWP（StatTrak™） | 红线=StatTrak™ AWP | Redline
P250（纪念品） | 硝烟=Souvenir P250 | Gunsmoke
MP9（StatTrak™） | 砂垢=StatTrak™ MP9 | Sand Scale
加利尔 AR | 黑砂=Galil AR | Black Sand
SCAR-20（StatTrak™） | 权力之心=StatTrak™ SCAR-20 | Powercore
摩托手套（★） | *嘣！*=★ Moto Gloves | Boom!
熊刀（★） | 蓝钢=★ Ursus Knife | Blue Steel
内格夫（StatTrak™） | 大嘴巴=StatTrak™ Negev | Loudmouth
截短霰弹枪（StatTrak™） | 吞噬=StatTrak™ Sawed-Off | Devourer
P250（StatTrak™） | 铜绿=StatTrak™ P250 | Verdigris
Tec-9（StatTrak™） | 碎蛋白石=StatTrak™ Tec-9 | Cracked Opal
蝴蝶刀（★） | 渐变大理石=★ Butterfly Knife | Marble Fade
沙漠之鹰（StatTrak™） | 钴蓝禁锢=StatTrak™ Desert Eagle | Cobalt Disruption
沙漠之鹰（StatTrak™） | 蛊惑之色=StatTrak™ Desert Eagle | Hypnotic
法玛斯 | 神经网=FAMAS | Neural Net
AUG | 琥珀冲流=AUG | Amber Slipstream
M9 刺刀（★ StatTrak™） | 屠夫=★ StatTrak™ M9 Bayonet | Slaughter
驾驶手套（★） | 菱背蛇纹=★ Driver Gloves | Diamondback
鲍伊猎刀（★） | 多普勒=★ Bowie Knife | Doppler
AUG | 孟加拉猛虎=AUG | Bengal Tiger
UMP-45（纪念品） | 设施系列·深色图=Souvenir UMP-45 | Facility Dark
弯刀（★） | 都市伪装=★ Falchion Knife | Urban Masked
截短霰弹枪 | 弄臣之颅=Sawed-Off | Yorick
法玛斯 | 幸存者 Z=FAMAS | Survivor Z
M4A4（StatTrak™） | 皇帝=StatTrak™ M4A4 | The Emperor
MP9（StatTrak™） | 铁血玫瑰=StatTrak™ MP9 | Rose Iron
血猎手套（★） | 蛇咬=★ Bloodhound Gloves | Snakebite
蝴蝶刀（★） | 致命紫罗兰=★ Butterfly Knife | Ultraviolet
双持贝瑞塔 | 双涡轮=Dual Berettas | Twin Turbo
XM1014（纪念品） | 蓝钢=Souvenir XM1014 | Blue Steel
加利尔 AR | 地狱看门犬=Galil AR | Cerberus
Tec-9 | 艾萨克=Tec-9 | Isaac
内格夫（StatTrak™） | 狮子鱼=StatTrak™ Negev | Lionfish
MP7 | 地下水=MP7 | Groundwater
G3SG1 | 日式橙色涂装=G3SG1 | Orange Kimono
MP5-SD（纪念品） | 协处理器=Souvenir MP5-SD | Co-Processor
R8 左轮手枪（纪念品） | 渐变琥珀=Souvenir R8 Revolver | Amber Fade
M249 | 翠绿箭毒蛙=M249 | Emerald Poison Dart
新星 | 天秤之月=Nova | Moon in Libra
XM1014 | 蔚蓝多变迷彩=XM1014 | VariCamo Blue
P90 | 二西莫夫=P90 | Asiimov
P2000（StatTrak™） | 海之泡沫=StatTrak™ P2000 | Ocean Foam
Tec-9（StatTrak™） | 战火重燃=StatTrak™ Tec-9 | Re-Entry
暗影双匕（★ StatTrak™） | 大马士革钢=★ StatTrak™ Shadow Daggers | Damascus Steel
MAC-10 | 海洋=MAC-10 | Oceanic
USP 消音版 | 枪响人亡=USP-S | Kill Confirmed
M4A4（StatTrak™） | 二西莫夫=StatTrak™ M4A4 | Asiimov
加利尔 AR | 「经济」克鲁尔=Galil AR | Eco
USP 消音版（纪念品） | 森林之叶=Souvenir USP-S | Forest Leaves
R8 左轮手枪（StatTrak™） | 生存主义者=StatTrak™ R8 Revolver | Survivalist
SG 553 | 鳄鱼网格=SG 553 | Gator Mesh
AUG | 雇佣兵=AUG | Contractor
M4A4 | 渐变斑纹=M4A4 | Faded Zebra
刺刀（★ StatTrak™） | 多普勒=★ StatTrak™ Bayonet | Doppler
P90 | 异星世界=P90 | Off World
P250 | 翼击=P250 | Wingshot
截短霰弹枪 | 马赛克=Sawed-Off | Mosaico
USP 消音版（StatTrak™） | 力矩=StatTrak™ USP-S | Torque
猎杀者匕首（★） | 枯焦之色=★ Huntsman Knife | Scorched
AWP | 雷击=AWP | Lightning Strike
短剑（★） | 渐变大理石=★ Stiletto Knife | Marble Fade
USP 消音版 | 血虎=USP-S | Blood Tiger
P250 | 红岩=P250 | Red Rock
MAC-10 | 冉吉=MAC-10 | Rangeen
SG 553 | 大马士革钢=SG 553 | Damascus Steel
AK-47 | 狩猎网格=AK-47 | Safari Mesh
法玛斯（纪念品） | 殖民侵略者=Souvenir FAMAS | Colony
AUG | 秋叶原之选=AUG | Akihabara Accept
短剑（★ StatTrak™） | 渐变之色=★ StatTrak™ Stiletto Knife | Fade
CZ75 自动手枪 | 蓝巢=CZ75-Auto | Hexane
SCAR-20（StatTrak™） | 次时代=StatTrak™ SCAR-20 | Cyrex
折叠刀（★ StatTrak™） | 北方森林=★ StatTrak™ Flip Knife | Boreal Forest
CZ75 自动手枪（StatTrak™） | 印花板=StatTrak™ CZ75-Auto | Imprint
M4A4 | 地狱烈焰=M4A4 | Hellfire
加利尔 AR | 贤者涂装=Galil AR | Sage Spray
折叠刀（★ StatTrak™） | 自由之手=★ StatTrak™ Flip Knife | Freehand
SSG 08 | 热带风暴=SSG 08 | Tropical Storm
折刀（★） | 多普勒=★ Navaja Knife | Doppler
格洛克 18 型 | 远光灯=Glock-18 | High Beam
MP7（StatTrak™） | 恶作剧=StatTrak™ MP7 | Mischief
短剑（★） | 人工染色=★ Stiletto Knife | Stained
P90（纪念品） | 暴风呼啸=Souvenir P90 | Storm
加利尔 AR（StatTrak™） | 橙黄 DDPAT=StatTrak™ Galil AR | Orange DDPAT
刺刀（★ StatTrak™） | 自动化=★ StatTrak™ Bayonet | Autotronic
截短霰弹枪（纪念品） | 刹车灯=Souvenir Sawed-Off | Brake Light
内格夫（纪念品） | 舱壁=Souvenir Negev | Bulkhead
折叠刀（★ StatTrak™） | 深红之网=★ StatTrak™ Flip Knife | Crimson Web
AK-47 | 火神=AK-47 | Vulcan
USP 消音版 | 凯门鳄=USP-S | Caiman
截短霰弹枪 | 千纸鹤=Sawed-Off | Origami
格洛克 18 型 | 地下水=Glock-18 | Groundwater
Tec-9（StatTrak™） | 燃料喷射器=StatTrak™ Tec-9 | Fuel Injector
摩托手套（★） | 交运=★ Moto Gloves | Transport
M9 刺刀（★） | 大马士革钢=★ M9 Bayonet | Damascus Steel
FN57（StatTrak™） | 铜色星系=StatTrak™ Five-SeveN | Copper Galaxy
猎杀者匕首（★ StatTrak™） | 大马士革钢=★ StatTrak™ Huntsman Knife | Damascus Steel
SSG 08（StatTrak™） | 巨铁=StatTrak™ SSG 08 | Big Iron
SSG 08（StatTrak™） | 炎龙之焰=StatTrak™ SSG 08 | Dragonfire
MAC-10（纪念品） | 红苹果=Souvenir MAC-10 | Candy Apple
USP 消音版 | 守护者=USP-S | Guardian
SCAR-20（StatTrak™） | 心脏打击=StatTrak™ SCAR-20 | Cardiac
MP7 | 森林 DDPAT=MP7 | Forest DDPAT
M4A4（纪念品） | 都市 DDPAT=Souvenir M4A4 | Urban DDPAT
P90 | 精英之作=P90 | Elite Build
MAC-10 | 炽热=MAC-10 | Heat
M4A1 消音型 | 翼蜥=M4A1-S | Basilisk
法玛斯 | 残影=FAMAS | Afterimage
M4A1 消音型（StatTrak™） | 翼蜥=StatTrak™ M4A1-S | Basilisk
MAG-7 | 危机色调=MAG-7 | Hazard
M4A4（StatTrak™） | 杀意大名=StatTrak™ M4A4 | Evil Daimyo
P90（StatTrak™） | 喵之萌杀=StatTrak™ P90 | Death by Kitty
MAG-7 | 硬水=MAG-7 | Hard Water
加利尔 AR（StatTrak™） | 冷石=StatTrak™ Galil AR | Stone Cold
MP9（纪念品） | 滑移=Souvenir MP9 | Slide
MP9 | 暴风呼啸=MP9 | Storm
FN57 | 毛细血管=Five-SeveN | Capillary
AUG（纪念品） | 暴风呼啸=Souvenir AUG | Storm
P90 | 深蓝组件=P90 | Module
MAG-7 | 石雕=MAG-7 | Petroglyph
MAC-10 | 烧尽=MAC-10 | Tatter
M9 刺刀（★） | 蓝钢=★ M9 Bayonet | Blue Steel
SCAR-20 | 丛林滑流=SCAR-20 | Jungle Slipstream
穿肠刀（★） | 澄澈之水=★ Gut Knife | Bright Water
P2000（StatTrak™） | 林间猎者=StatTrak™ P2000 | Woodsman
暗影双匕（★ StatTrak™） | 北方森林=★ StatTrak™ Shadow Daggers | Boreal Forest
P250 | 铠甲=P250 | Iron Clad
AWP | 浮生如梦=AWP | Fever Dream
AK-47 | 酷炫涂鸦皮革=AK-47 | Jet Set
刺刀（★） | 黑色层压板=★ Bayonet | Black Laminate
PP-野牛 | 午夜行动=PP-Bizon | Night Ops
爪子刀（★ StatTrak™） | 屠夫=★ StatTrak™ Karambit | Slaughter
格洛克 18 型 | 红苹果=Glock-18 | Candy Apple
R8 左轮手枪 | 重新启动=R8 Revolver | Reboot
M9 刺刀（★） | 虎牙=★ M9 Bayonet | Tiger Tooth
锯齿爪刀（★） | 渐变大理石=★ Talon Knife | Marble Fade
AK-47 | 前线迷雾=AK-47 | Frontside Misty
R8 左轮手枪（StatTrak™） | 深红之网=StatTrak™ R8 Revolver | Crimson Web
FN57（纪念品） | 暮色森林=Souvenir Five-SeveN | Forest Night
MAG-7 | 威吓者=MAG-7 | Bulldozer
穿肠刀（★ StatTrak™） | 多普勒=★ StatTrak™ Gut Knife | Doppler
穿肠刀（★ StatTrak™） | 表面淬火=★ StatTrak™ Gut Knife | Case Hardened
新星（StatTrak™） | 锦鲤=StatTrak™ Nova | Koi
新星 | 极地网格=Nova | Polar Mesh
格洛克 18 型（StatTrak™） | 铁之作=StatTrak™ Glock-18 | Ironwork
M249（StatTrak™） | 星云十字军=StatTrak™ M249 | Nebula Crusader
沙漠之鹰 | 日落风暴 弐=Desert Eagle | Sunset Storm 弐
R8 左轮手枪（StatTrak™） | 美洲驼炮=StatTrak™ R8 Revolver | Llama Cannon
鲍伊猎刀（★ StatTrak™） | 屠夫=★ StatTrak™ Bowie Knife | Slaughter
SSG 08 | 通灵者=SSG 08 | Necropos
PP-野牛 | 外表生锈=PP-Bizon | Rust Coat
P250（纪念品） | 核子污染=Souvenir P250 | Contamination
双持贝瑞塔（StatTrak™） | 报应=StatTrak™ Dual Berettas | Retribution
M4A1 消音型（StatTrak™） | 暴怒野兽=StatTrak™ M4A1-S | Hyper Beast
MP5-SD（纪念品） | 小白鼠=Souvenir MP5-SD | Lab Rats
MP5-SD | 越野=MP5-SD | Dirt Drop
加利尔 AR（StatTrak™） | 信号灯=StatTrak™ Galil AR | Signal
格洛克 18 型（纪念品） | 噩梦之夜=Souvenir Glock-18 | Night
截短霰弹枪 | 荒野公主=Sawed-Off | Wasteland Princess
锯齿爪刀（★） | 渐变之色=★ Talon Knife | Fade
PP-野牛 | 化工之绿=PP-Bizon | Chemical Green
M4A1 消音型 | 机械工业=M4A1-S | Mecha Industries
爪子刀（★ StatTrak™） | 狩猎网格=★ StatTrak™ Karambit | Safari Mesh
CZ75 自动手枪 | 黄夹克=CZ75-Auto | Yellow Jacket
格洛克 18 型 | 黄铜=Glock-18 | Brass
XM1014（StatTrak™） | 滑流=StatTrak™ XM1014 | Slipstream
锯齿爪刀（★） | 表面淬火=★ Talon Knife | Case Hardened
新星 | 游侠=Nova | Ranger
MAG-7 | 灼烧之痕=MAG-7 | Firestarter
USP 消音版（StatTrak™） | 血虎=StatTrak™ USP-S | Blood Tiger
驾驶手套（★） | 月色织物=★ Driver Gloves | Lunar Weave
USP 消音版（StatTrak™） | 猎户=StatTrak™ USP-S | Orion
双持贝瑞塔（StatTrak™） | 碎片=StatTrak™ Dual Berettas | Shred
加利尔 AR | 水蓝阶地=Galil AR | Aqua Terrace
M4A4（StatTrak™） | 沙漠精英=StatTrak™ M4A4 | Desert-Strike
熊刀（★ StatTrak™） | 森林 DDPAT=★ StatTrak™ Ursus Knife | Forest DDPAT
P2000 | 至高帝皇=P2000 | Imperial
MP7 | 硝烟=MP7 | Gunsmoke
FN57 | 雇佣兵=Five-SeveN | Contractor
AUG | 铜斑蛇=AUG | Copperhead
SG 553 | 三巨头=SG 553 | Triarch
UMP-45 | 白骨之堆=UMP-45 | Bone Pile
法玛斯 | 湖蓝涂装=FAMAS | Cyanospatter
M9 刺刀（★） | 自动化=★ M9 Bayonet | Autotronic
运动手套（★） | 迈阿密风云=★ Sport Gloves | Vice
XM1014 | 狂野丛林=XM1014 | Jungle
SG 553 | 次时代=SG 553 | Cyrex
血猎手套（★） | 游击队=★ Bloodhound Gloves | Guerrilla
PP-野牛（StatTrak™） | 丛林滑流=StatTrak™ PP-Bizon | Jungle Slipstream
加利尔 AR（StatTrak™） | 支离破碎=StatTrak™ Galil AR | Shattered
双持贝瑞塔（纪念品） | 双涡轮=Souvenir Dual Berettas | Twin Turbo
AWP（StatTrak™） | 火卫—=StatTrak™ AWP | Phobos
MP7（StatTrak™） | 都市危机=StatTrak™ MP7 | Urban Hazard
新星（StatTrak™） | 暴怒野兽=StatTrak™ Nova | Hyper Beast
AK-47 | 卡特尔=AK-47 | Cartel
MAC-10（纪念品） | 紫青之色=Souvenir MAC-10 | Indigo
AUG | 动量=AUG | Momentum
双持贝瑞塔（StatTrak™） | 皇室伴侣=StatTrak™ Dual Berettas | Royal Consorts
格洛克 18 型（StatTrak™） | 蓝色裂纹=StatTrak™ Glock-18 | Blue Fissure
新星 | 古董枪=Nova | Antique
AWP | 黑色魅影=AWP | Neo-Noir
短剑（★） | 森林 DDPAT=★ Stiletto Knife | Forest DDPAT
M4A1 消音型 | 破碎铅秋=M4A1-S | Leaded Glass
鲍伊猎刀（★ StatTrak™） | 噩梦之夜=★ StatTrak™ Bowie Knife | Night
MP7 | 恶作剧=MP7 | Mischief
XM1014（StatTrak™） | 天空守卫=StatTrak™ XM1014 | Heaven Guard
加利尔 AR（StatTrak™） | 火箭冰棒=StatTrak™ Galil AR | Rocket Pop
折刀（★） | 都市伪装=★ Navaja Knife | Urban Masked
P90 | 喵之萌杀=P90 | Death by Kitty
刺刀（★） | 深红之网=★ Bayonet | Crimson Web
猎杀者匕首（★ StatTrak™） | 狩猎网格=★ StatTrak™ Huntsman Knife | Safari Mesh
法玛斯 | 厄运之喵=FAMAS | Doomkitty
UMP-45 | 枯焦之色=UMP-45 | Scorched
穿肠刀（★ StatTrak™） | 森林 DDPAT=★ StatTrak™ Gut Knife | Forest DDPAT
P2000 | 电子脉冲=P2000 | Pulse
SSG 08（StatTrak™） | 裂痕=StatTrak™ SSG 08 | Slashed
SCAR-20 | 碳素纤维=SCAR-20 | Carbon Fiber
新星（StatTrak™） | 灼木=StatTrak™ Nova | Wood Fired
法玛斯（纪念品） | 冥界之憎=Souvenir FAMAS | Styx
格洛克 18 型 | 异星世界=Glock-18 | Off World
折叠刀（★ StatTrak™） | 蓝钢=★ StatTrak™ Flip Knife | Blue Steel
P250 | 沙丘之黄=P250 | Sand Dune
加利尔 AR（纪念品） | 贤者涂装=Souvenir Galil AR | Sage Spray
蝴蝶刀（★ StatTrak™） | 渐变大理石=★ StatTrak™ Butterfly Knife | Marble Fade
PP-野牛 | 丛林滑流=PP-Bizon | Jungle Slipstream
M9 刺刀（★ StatTrak™） | 多普勒=★ StatTrak™ M9 Bayonet | Doppler
AUG | 湖怪鸟=AUG | Stymphalian
折叠刀（★ StatTrak™） | 森林 DDPAT=★ StatTrak™ Flip Knife | Forest DDPAT
M9 刺刀（★ StatTrak™） | 渐变大理石=★ StatTrak™ M9 Bayonet | Marble Fade
折刀（★） | 蓝钢=★ Navaja Knife | Blue Steel
弯刀（★ StatTrak™） | 大马士革钢=★ StatTrak™ Falchion Knife | Damascus Steel
暗影双匕（★） | 蓝钢=★ Shadow Daggers | Blue Steel
PP-野牛（纪念品） | 辐照警报=Souvenir PP-Bizon | Irradiated Alert
鲍伊猎刀（★ StatTrak™） | 虎牙=★ StatTrak™ Bowie Knife | Tiger Tooth
短剑（★） | 屠夫=★ Stiletto Knife | Slaughter
法玛斯（StatTrak™） | 中士=StatTrak™ FAMAS | Sergeant
截短霰弹枪 | 外表生锈=Sawed-Off | Rust Coat
暗影双匕（★） | 致命紫罗兰=★ Shadow Daggers | Ultraviolet
M9 刺刀（★） | 人工染色=★ M9 Bayonet | Stained
M249 | 岩浆=M249 | Magma
新星（StatTrak™） | 狂野六号=StatTrak™ Nova | Wild Six
格洛克 18 型 | 城里的月光=Glock-18 | Moonrise
M4A4 | 狂哮飓风=M4A4 | Tornado
AWP | 无畏战神=AWP | Man-o'-war
鲍伊猎刀（★） | 虎牙=★ Bowie Knife | Tiger Tooth
USP 消音版（StatTrak™） | 疯狂蔓延=StatTrak™ USP-S | Overgrowth
G3SG1（StatTrak™） | 行刑者=StatTrak™ G3SG1 | The Executioner
暗影双匕（★ StatTrak™） | 都市伪装=★ StatTrak™ Shadow Daggers | Urban Masked
新星 | 惊惧骷髅=Nova | Rising Skull
MAC-10（StatTrak™） | 不可磨灭=StatTrak™ MAC-10 | Graven
刺刀（★ StatTrak™） | 表面淬火=★ StatTrak™ Bayonet | Case Hardened
截短霰弹枪（StatTrak™） | 橙黄 DDPAT=StatTrak™ Sawed-Off | Orange DDPAT
USP 消音版（StatTrak™） | 不锈钢=StatTrak™ USP-S | Stainless
UMP-45 | 白狼=UMP-45 | Arctic Wolf
AUG（StatTrak™） | 燕群=StatTrak™ AUG | Fleet Flock
P250 | 银装素裹=P250 | Whiteout
MAG-7 | 炽热=MAG-7 | Heat
P250（StatTrak™） | 翼击=StatTrak™ P250 | Wingshot
Tec-9 | 破铜烂铁=Tec-9 | Fubar
P250（StatTrak™） | 影魔=StatTrak™ P250 | Nevermore
猎杀者匕首（★） | 屠夫=★ Huntsman Knife | Slaughter
截短霰弹枪 | 竹影=Sawed-Off | Bamboo Shadow
弯刀（★） | 大马士革钢=★ Falchion Knife | Damascus Steel
M4A4 | 镁元素=M4A4 | Magnesium
G3SG1（StatTrak™） | 橙光冲击=StatTrak™ G3SG1 | Orange Crash
Tec-9 | 碎蛋白石=Tec-9 | Cracked Opal
SSG 08（纪念品） | 迂回路线=Souvenir SSG 08 | Detour
猎杀者匕首（★ StatTrak™） | 渐变大理石=★ StatTrak™ Huntsman Knife | Marble Fade
弯刀（★ StatTrak™） | 渐变之色=★ StatTrak™ Falchion Knife | Fade
爪子刀（★ StatTrak™） | 致命紫罗兰=★ StatTrak™ Karambit | Ultraviolet
加利尔 AR（StatTrak™） | 沙尘暴=StatTrak™ Galil AR | Sandstorm
M4A1 消音型 | 简报=M4A1-S | Briefing
FN57（StatTrak™） | 毛细血管=StatTrak™ Five-SeveN | Capillary
鲍伊猎刀（★） | 蓝钢=★ Bowie Knife | Blue Steel
新星 | 灼木=Nova | Wood Fired
截短霰弹枪（纪念品） | 外表生锈=Souvenir Sawed-Off | Rust Coat
折刀（★ StatTrak™） | 深红之网=★ StatTrak™ Navaja Knife | Crimson Web
FN57 | 耍猴把戏=Five-SeveN | Monkey Business
P250（StatTrak™） | 红岩=StatTrak™ P250 | Red Rock
M4A4 | 喧嚣杀戮=M4A4 | Buzz Kill
XM1014（StatTrak™） | 剧毒水银=StatTrak™ XM1014 | Quicksilver
SG 553 | 辐射警告=SG 553 | Fallout Warning
穿肠刀（★ StatTrak™） | 渐变大理石=★ StatTrak™ Gut Knife | Marble Fade
MP7 | 海之泡沫=MP7 | Ocean Foam
熊刀（★） | 都市伪装=★ Ursus Knife | Urban Masked
MP7 | 卷云=MP7 | Cirrus
MP5-SD | 高斯=MP5-SD | Gauss
沙漠之鹰 | 遗产=Desert Eagle | Heirloom
AUG（StatTrak™） | 琥珀冲流=StatTrak™ AUG | Amber Slipstream
XM1014 | 锈蚀烈焰=XM1014 | Oxide Blaze
沙漠之鹰（StatTrak™） | 指挥=StatTrak™ Desert Eagle | Directive
蝴蝶刀（★ StatTrak™） | 深红之网=★ StatTrak™ Butterfly Knife | Crimson Web
R8 左轮手枪 | 稳=R8 Revolver | Grip
刺刀（★） | 表面淬火=★ Bayonet | Case Hardened
猎杀者匕首（★） | 外表生锈=★ Huntsman Knife | Rust Coat
P250（纪念品） | 骸骨外罩=Souvenir P250 | Bone Mask
MAG-7（StatTrak™） | 钴核=StatTrak™ MAG-7 | Cobalt Core
P250 | 超新星=P250 | Supernova
XM1014 | 蓝钢=XM1014 | Blue Steel
加利尔 AR（纪念品） | 多变迷彩=Souvenir Galil AR | VariCamo
裹手（★） | 恶土=★ Hand Wraps | Badlands
M4A4 | 二西莫夫=M4A4 | Asiimov
P250 | 硝烟=P250 | Gunsmoke
格洛克 18 型（StatTrak™） | 钢铁禁锢=StatTrak™ Glock-18 | Steel Disruption
MP7（纪念品） | 橘皮涂装=Souvenir MP7 | Orange Peel
刺刀（★ StatTrak™） | 自由之手=★ StatTrak™ Bayonet | Freehand
运动手套（★） | 双栖=★ Sport Gloves | Amphibious
MAC-10（StatTrak™） | 捕猎者=StatTrak™ MAC-10 | Carnivore
M9 刺刀（★ StatTrak™） | 枯焦之色=★ StatTrak™ M9 Bayonet | Scorched
爪子刀（★） | 多普勒=★ Karambit | Doppler
新星 | 胡桃木=Nova | Walnut
血猎手套（★） | 染铜=★ Bloodhound Gloves | Bronzed
暗影双匕（★） | 外表生锈=★ Shadow Daggers | Rust Coat
沙漠之鹰 | 蛊惑之色=Desert Eagle | Hypnotic
沙漠之鹰 | 都市瓦砾=Desert Eagle | Urban Rubble
M249 | 对比涂装=M249 | Contrast Spray
PP-野牛（纪念品） | 黄铜=Souvenir PP-Bizon | Brass
刺刀（★ StatTrak™） | 噩梦之夜=★ StatTrak™ Bayonet | Night
锯齿爪刀（★ StatTrak™） | 人工染色=★ StatTrak™ Talon Knife | Stained
内格夫 | 舱壁=Negev | Bulkhead
MAC-10 | 销声=MAC-10 | Pipe Down
AWP | 冥界之河=AWP | Acheron
MAC-10 | 捕猎者=MAC-10 | Carnivore
P250（StatTrak™） | 涟漪=StatTrak™ P250 | Ripple
M9 刺刀（★） | 致命紫罗兰=★ M9 Bayonet | Ultraviolet
爪子刀（★ StatTrak™） | 表面淬火=★ StatTrak™ Karambit | Case Hardened
鲍伊猎刀（★） | 噩梦之夜=★ Bowie Knife | Night
暗影双匕（★） | 屠夫=★ Shadow Daggers | Slaughter
暗影双匕（★ StatTrak™） | 人工染色=★ StatTrak™ Shadow Daggers | Stained
M9 刺刀（★ StatTrak™） | 自动化=★ StatTrak™ M9 Bayonet | Autotronic
P2000（StatTrak™） | 电子脉冲=StatTrak™ P2000 | Pulse
CZ75 自动手枪 | 经济=CZ75-Auto | Eco
爪子刀（★） | 蓝钢=★ Karambit | Blue Steel
折叠刀（★） | 表面淬火=★ Flip Knife | Case Hardened
SG 553 | 豹灯蛾=SG 553 | Tiger Moth
M4A4 | 黑色魅影=M4A4 | Neo-Noir
格洛克 18 型 | 蓝色裂纹=Glock-18 | Blue Fissure
鲍伊猎刀（★ StatTrak™） | 多普勒=★ StatTrak™ Bowie Knife | Doppler
SCAR-20 | 暴风呼啸=SCAR-20 | Storm
SCAR-20 | 溅射果酱=SCAR-20 | Splash Jam
MP9 | 生化泄漏=MP9 | Bioleak
加利尔 AR | ~甜甜的~=Galil AR | Sugar Rush
短剑（★） | 深红之网=★ Stiletto Knife | Crimson Web
蝴蝶刀（★ StatTrak™） | 外表生锈=★ StatTrak™ Butterfly Knife | Rust Coat
Tec-9 | 坍雪寒裘=Tec-9 | Avalanche
PP-野牛 | 森林之叶=PP-Bizon | Forest Leaves
XM1014（StatTrak™） | 斯康里娅=StatTrak™ XM1014 | Scumbria
短剑（★ StatTrak™） | 多普勒=★ StatTrak™ Stiletto Knife | Doppler
弯刀（★） | 枯焦之色=★ Falchion Knife | Scorched
格洛克 18 型 | 粉碎者=Glock-18 | Grinder
熊刀（★） | 枯焦之色=★ Ursus Knife | Scorched
AK-47 | 安全网=AK-47 | Safety Net
短剑（★ StatTrak™） | 蓝钢=★ StatTrak™ Stiletto Knife | Blue Steel
SCAR-20 | 权力之心=SCAR-20 | Powercore
沙漠之鹰 | 钴蓝禁锢=Desert Eagle | Cobalt Disruption
暗影双匕（★ StatTrak™） | 致命紫罗兰=★ StatTrak™ Shadow Daggers | Ultraviolet
加利尔 AR | 神祗=Galil AR | Kami
沙漠之鹰 | 锈蚀烈焰=Desert Eagle | Oxide Blaze
猎杀者匕首（★） | 狩猎网格=★ Huntsman Knife | Safari Mesh
猎杀者匕首（★） | 虎牙=★ Huntsman Knife | Tiger Tooth
裹手（★） | 皮革=★ Hand Wraps | Leather
P250 | 骸骨外罩=P250 | Bone Mask
新星 | Exo=Nova | Exo
FN57（StatTrak™） | 斯康里娅=StatTrak™ Five-SeveN | Scumbria
MP9 | 落日=MP9 | Setting Sun
R8 左轮手枪 | 头骨粉碎者=R8 Revolver | Skull Crusher
折叠刀（★ StatTrak™） | 狩猎网格=★ StatTrak™ Flip Knife | Safari Mesh
AK-47 | 水栽竹=AK-47 | Hydroponic
MAC-10 | 红苹果=MAC-10 | Candy Apple
双持贝瑞塔 | 皇室伴侣=Dual Berettas | Royal Consorts
AK-47 | 捕食者=AK-47 | Predator
M4A1 消音型 | 原子合金=M4A1-S | Atomic Alloy
AK-47（StatTrak™） | 血腥运动=StatTrak™ AK-47 | Bloodsport
格洛克 18 型（StatTrak™） | 锈蚀烈焰=StatTrak™ Glock-18 | Oxide Blaze
Tec-9 | 竹林=Tec-9 | Bamboo Forest
爪子刀（★） | 自动化=★ Karambit | Autotronic
AWP（StatTrak™） | 死神=StatTrak™ AWP | Mortis
USP 消音版（纪念品） | 午夜行动=Souvenir USP-S | Night Ops
AK-47（StatTrak™） | 蓝色层压板=StatTrak™ AK-47 | Blue Laminate
AUG | 变色龙=AUG | Chameleon
MAG-7（StatTrak™） | 禁卫军=StatTrak™ MAG-7 | Praetorian
穿肠刀（★ StatTrak™） | 深红之网=★ StatTrak™ Gut Knife | Crimson Web
驾驶手套（★） | 深红织物=★ Driver Gloves | Crimson Weave
AWP | 狮子之日=AWP | Sun in Leo
AWP | 响尾蛇=AWP | Pit Viper
AWP（StatTrak™） | 暴怒野兽=StatTrak™ AWP | Hyper Beast
法玛斯（StatTrak™） | 幸存者 Z=StatTrak™ FAMAS | Survivor Z
SG 553（StatTrak™） | 幻影=StatTrak™ SG 553 | Phantom
SCAR-20（纪念品） | 沙漠网格=Souvenir SCAR-20 | Sand Mesh
M4A4 | 沙漠精英=M4A4 | Desert-Strike
SSG 08 | 沙丘之黄=SSG 08 | Sand Dune
SG 553 | 危险距离=SG 553 | Danger Close
